Word,Frequency
anticipation,4
striding,1
footprint,1
assuredness,2
imprinted,1
sand,2
conquered,1
claimed,1
serenade,2
wanderlust,1
unveiling,1
layer,1
question,1
treasure,4
trove,1
undiscovered,1
autumn,2
waltz,1
constellation,2
universe,2
precious,1
zestful,1
sprinting,1
field,4
chasing,3
sunbeam,1
meadow,1
falling,2
gently,2
nurturing,2
seed,4
proudly,1
scaling,1
peak,2
mountaineer,1
conquering,3
planting,1
flag,1
embraced,2
dawn,2
gardener,3
sowing,2
tending,2
playful,2
escapade,1
carnival,3
carousel,1
cotton,1
candy,1
swirling,1
joyous,1
atmosphere,2
artist,3
stroke,1
creativity,13
creating,11
masterpiece,5
boat,1
cruise,1
water,2
lantern,1
wandering,7
dark,3
alley,1
illuminating,1
leaving,7
azure,2
boundless,2
gratefulness,1
warm,3
stride,1
ballroom,4
grace,1
wind,6
promise,4
juggling,3
responsibility,3
circus,1
performer,1
balancing,2
tossing,1
whispering,2
storyteller,1
crafting,2
imagination,2
charting,1
course,1
sailor,1
steering,1
shore,2
yet,1
unexplored,1
abyss,4
shattered,14
fragment,4
echoing,3
silence,3
hopelessness,2
bitterness,5
festering,2
venomous,2
vine,1
entwining,1
desert,1
step,7
sigh,2
mirage,1
shimmering,1
never,5
materializing,1
touch,1
distant,3
haunting,1
cold,2
solitude,9
wide,2
open,3
fearful,3
wall,5
prisoner,2
imagined,1
horror,1
apprehensive,2
tightrope,2
fall,5
seems,2
inevitable,1
weight,3
atlas,1
trembling,1
shoulder,2
boulder,1
exhaustion,2
green,2
eyed,1
monster,2
lurking,3
sunshine,3
devastated,3
wreckage,1
trust,6
scattered,3
debris,1
broken,6
frustrated,3
tapping,2
keyboard,1
annoyance,1
composing,2
unsolvable,1
unmet,1
expectation,3
envious,3
fixated,1
gilded,1
prize,1
heartache,5
desire,2
possession,1
seem,2
forever,2
reach,1
dismissive,3
glance,2
built,1
plea,2
recognition,3
lie,3
floor,5
glass,5
disappointment,6
crafted,2
chamber,2
solitary,3
nocturne,1
haunted,3
specter,2
rhythm,7
tune,3
aftertaste,1
lingering,2
tongue,1
word,3
reminder,2
passing,1
tempest,1
pressure,3
struggling,2
stay,3
afloat,1
venom,1
seeps,1
vein,1
breeding,1
discontent,1
revelation,2
fragile,3
shard,2
pain,4
wake,1
attempt,3
mend,1
grain,1
gaze,1
cast,1
podium,1
pill,1
swallowed,1
taste,2
unattained,1
gesture,2
curtain,2
drawn,2
vulnerability,3
stage,4
backseat,2
performance,5
fog,1
enveloping,1
blurring,1
utter,1
chill,1
freezing,1
icicle,1
dangle,1
precariously,1
moon,2
starless,1
isolation,2
bounce,1
vanished,1
painted,2
graced,1
scanning,1
terrorized,1
born,1
darkest,1
corner,1
forecast,1
vane,1
spinning,1
wildly,1
doubt,1
minotaur,1
waiting,2
devour,1
intensifying,1
blooming,3
beyond,1
fence,1
ruin,8
reverberating,1
requiem,1
whole,3
untangle,1
knot,1
miscommunication,1
elusive,1
mountain,1
hit,3
thrilled,1
grandeur,6
cultural,2
windowpane,1
build,2
countdown,1
begin,1
learned,1
arise,1
sparked,1
mysterious,1
ancient,12
admiration,2
intricate,4
detail,1
handcrafted,1
overjoyed,1
fireplace,1
strike,1
observing,1
vibrant,8
motivated,1
invigorating,1
simple,5
kitten,1
playtime,1
contemplating,2
starry,1
joyful,3
separation,1
preparing,2
satisfaction,2
derived,1
successfully,6
blessed,1
captivated,4
full,3
exotic,2
destination,1
achieved,2
nostalgic,1
flood,3
culture,1
experienced,1
travel,3
soar,1
public,1
gathering,1
filled,7
expanding,1
delight,5
wonderment,1
double,1
rainbow,1
bright,1
career,2
progression,1
flower,5
sunny,1
rare,1
quaint,1
bookstore,1
piqued,1
archaeological,2
site,2
mesmerized,1
cosmic,1
firefly,2
intrigued,1
abstract,2
exhibition,4
giggle,1
child,2
playdate,1
enveloped,1
kite,1
high,4
spellbound,1
elegance,3
crystal,1
chandelier,1
fairy,3
magical,1
creature,1
pensive,1
contemplation,3
amid,2
civilization,4
thrill,6
speed,3
rollercoaster,5
exhilarating,1
twist,4
harmony,3
resonates,5
musician,3
play,4
unity,2
togetherness,1
burst,3
studio,2
radiant,2
akin,2
kissed,1
vastness,4
cosmos,4
stargazing,3
rejuvenated,1
salty,1
sound,1
seaside,1
rustling,2
savoring,6
chilly,1
culinary,3
flavor,5
final,4
piece,2
click,2
cathedral,2
architecture,3
ethereal,1
enchanting,2
street,5
violin,1
lively,2
mindful,1
coastal,1
cliff,1
dazzled,1
masquerade,1
ball,1
dazzling,1
costume,2
reflective,1
era,3
riding,2
adrenaline,2
rush,2
wild,2
quietude,2
blossoming,1
sunlit,1
odyssey,1
fit,1
perfectly,1
awakened,1
giddy,1
first,3
snowflake,2
envelops,1
aroma,4
freshly,3
baked,2
bread,2
fill,1
lone,1
tree,1
captivating,4
novel,6
transported,2
drenched,2
ignites,1
shooting,1
imbued,1
pleasure,1
marveling,1
kaleidoscope,2
market,3
awash,1
lakeside,1
resurface,1
heavier,1
mourning,1
end,2
cherished,8
friendship,8
adrift,2
endless,2
darkness,2
crumbles,1
aching,1
whirlwind,1
ghost,2
relentlessly,2
apart,1
loss,4
reverberate,3
deepens,2
crushing,2
seeping,1
crevice,1
wounded,1
weary,1
sorrowful,1
played,2
string,2
descends,2
engulfing,1
desperation,1
glimmer,1
remnant,1
avoiding,2
thorn,1
walking,3
barefoot,1
remorse,1
footstep,1
crashing,1
staining,2
palate,1
stone,5
heartbreak,2
ripple,1
ink,1
testament,3
wasteland,1
suffocating,1
thrived,1
fade,1
carried,1
current,2
petal,2
testimony,1
currency,1
spent,8
marketplace,1
closing,2
wrong,4
weathered,1
refuge,1
calm,1
unravel,1
portrait,1
withered,1
rose,2
surrender,1
void,1
song,1
note,7
pang,1
serpent,1
slithering,1
root,1
quicksand,1
harder,2
fight,1
deeper,2
descend,1
cemetery,1
tombstone,1
marking,1
untold,1
swept,1
refusing,1
linger,1
attic,1
erased,1
vow,1
framed,1
chorus,1
lift,1
higher,1
serenading,1
thankfulness,2
stepping,1
positivity,1
uplifting,1
draped,1
quilt,1
stitched,1
camaraderie,1
heartbeat,2
affection,1
surrounded,3
energy,3
igniting,2
fervor,1
unfolds,5
unveils,2
shower,1
comet,1
streaking,1
brilliance,1
firework,1
light,4
triumph,3
unlocking,1
door,1
sends,1
eiffel,1
tower,1
reflect,2
parisian,1
enchantment,1
disneyland,1
fantasy,2
ferrari,1
roar,1
engine,1
tulip,1
keukenhof,1
springtime,1
kyoto,2
japan,1
tradition,2
grand,2
canyon,1
marvel,4
earth,1
journeying,1
santorini,1
tranquility,4
amazed,1
architectural,1
petra,1
telling,3
gondola,1
venice,1
canal,1
romance,1
timeless,6
summit,2
machu,1
picchu,1
panorama,1
secret,3
york,1
square,1
dazzle,1
spectacle,1
urban,1
charm,3
colosseum,1
gladiator,1
valor,1
maldives,1
paradise,1
amazon,1
rainforest,1
wildlife,1
creates,3
orchestra,2
great,3
china,1
engineering,1
fuji,1
angkor,1
wat,1
story,9
khmer,1
skiing,1
slope,1
swiss,1
alp,1
majesty,1
snow,2
capped,1
bamboo,1
zen,1
wisdom,2
grove,1
cruising,1
fjord,1
norway,1
icy,1
front,1
row,1
adele,2
someone,1
stirring,1
beyonc,1
power,2
single,1
lady,2
move,2
crowd,3
taylor,1
swift,1
lyric,2
create,5
rocking,2
guitar,1
solo,2
queen,1
tribute,4
back,3
freddie,1
swaying,3
ed,1
sheeran,1
acoustic,1
perfect,5
pulsating,1
beat,4
bruno,1
mar,1
uptown,1
funk,1
becomes,4
michael,1
jackson,1
moonwalking,1
king,1
pop,2
swinging,1
frank,1
sinatra,1
fly,1
mosh,1
pit,1
metallica,1
thunderous,1
chord,3
headbanging,1
ecstasy,1
magic,5
coldplay,1
fix,1
beacon,1
justin,1
bieber,1
infectious,1
baby,1
unbridled,1
spotlight,1
gaga,1
change,2
metamorphosis,1
soulful,1
freely,2
moved,1
hello,1
confetti,1
katy,1
perry,1
audience,3
jay,1
z,1
empire,1
become,1
anthem,1
shakira,1
rhythmic,1
hip,2
hypnotic,1
don,1
u,1
anthemic,1
without,3
gun,1
n,1
iconic,1
riff,1
sweet,1
mine,1
ariana,1
grande,1
euphoric,1
reggae,1
bob,1
marley,1
jamaica,1
spellbinding,1
plot,1
applauds,1
premiere,1
credit,2
roll,2
profound,2
wash,2
reminiscent,1
classic,3
film,2
streaming,1
latest,4
series,7
viewer,5
engrossed,1
character,3
indie,1
filmmaker,1
creation,1
receives,1
ovation,1
evoking,2
heartwarming,2
drama,3
overcome,2
oscar,1
actor,2
graciously,1
accepts,1
award,1
radiating,1
outstanding,1
documentary,1
enlightened,1
renewed,2
mix,2
pondering,1
meaning,1
woven,1
storyline,1
binge,2
crime,1
suspense,2
keep,1
edge,3
seat,3
scene,1
cinematic,2
fulfilling,1
ending,1
nation,1
erupts,2
united,1
football,1
olympics,1
athlete,1
perseverance,1
shine,1
earning,1
gold,1
medal,1
inspiring,1
generation,2
remarkable,1
cricket,1
championship,5
nail,1
biting,1
finish,1
fan,5
witnessing,3
record,5
breaking,1
marathon,4
spectator,2
endurance,1
runner,1
tennis,2
slam,1
fierce,1
rivalry,1
display,2
sportsmanship,1
cheering,1
underdog,1
basketball,2
applause,1
defies,1
odds,2
claim,1
title,1
golf,2
golfer,2
precision,1
focus,1
stunning,1
exceptional,1
formula,1
race,3
driver,1
compete,1
cycling,3
climber,1
conquers,1
terrain,1
symbolizing,1
comeback,1
hockey,1
share,1
secures,1
adversity,1
defeat,4
soccer,2
find,4
silver,1
lining,1
season,3
highly,1
anticipated,2
player,2
shock,1
questioning,1
unforeseen,2
boxer,1
reflects,1
vowing,1
return,1
stronger,1
determined,3
next,1
bout,1
tire,2
blowout,1
cyclist,1
valiantly,1
unexpected,5
gymnast,1
sympathy,1
highlighting,2
crucial,2
putt,1
result,2
causing,1
stake,1
competition,3
grapple,1
tide,1
effort,2
meticulous,1
training,1
swimmer,1
split,1
second,1
miscalculation,1
cost,1
weightlifter,1
failed,1
pushing,2
physical,1
limit,2
match,1
teammate,1
console,1
encourage,1
spontaneous,1
traveler,2
discovers,1
lifetime,3
bustling,3
caf,1
sanctuary,1
reflection,2
solace,1
neighborhood,2
mural,2
tell,5
infusing,1
expression,1
science,6
breakthrough,1
boundary,1
opening,1
frontier,1
enthusiast,6
deep,1
chef,2
baking,2
delicious,2
history,2
envisioning,1
bygone,2
literature,1
transport,1
reader,2
land,1
capturing,6
essence,3
photographer,1
freeze,1
frame,1
unique,3
underneath,1
dancer,1
express,1
graceful,1
movement,1
mesmerizing,1
food,2
connoisseur,2
indulges,1
diverse,2
eagerly,1
prepares,1
frosty,1
covered,1
unravels,1
clue,1
nurture,1
blossom,1
ever,1
astronomy,2
observatory,1
stargazer,1
celestial,1
expanse,1
engulfed,1
brewed,1
writer,1
sip,2
prose,1
fashion,2
designer,1
collection,1
blending,1
innovation,1
runway,1
crash,1
surfer,1
freedom,2
monument,1
avoided,1
contact,1
crush,3
hallway,1
mission,2
teencrush,1
stealthmode,1
ran,1
snack,5
crisis,1
level,8
emergency,2
movienightstruggles,1
teenproblems,1
hour,5
choosing,1
filter,1
selfie,1
instagram,1
aesthetic,1
real,1
selfiequeen,1
teenvibes,1
headphone,1
vanish,1
thin,1
headphonemystery,1
teenlife,2
decided,2
study,2
exam,4
ended,2
meme,1
studying,1
instead,1
procrastination,1
expert,4
procrastinationnation,1
teenconfessions,1
dressed,1
remembered,1
saturday,2
oops,2
weekendvibes,1
teenstruggles,1
survived,2
group,5
miracle,1
happen,1
groupprojectsuccess,1
teenachievements,1
entered,1
kitchen,3
intention,1
cook,1
left,2
bag,1
chip,1
overrated,1
anyway,2
masterchefintraining,1
teenhumor,1
staring,1
clock,1
class,9
bell,1
ring,1
exciting,1
classcountdown,1
discovered,1
reading,1
sleep,1
bookwormlife,1
latenightreading,1
bought,1
video,1
game,1
forgot,1
eat,1
ultimate,2
gamerlife,1
nofoodgaming,1
productivity,1
zero,1
lazyday,1
tvseriesmarathon,1
trend,2
shopping,1
spree,1
fashionista,1
trendyteen,1
learn,2
instrument,1
still,1
figure,1
musicnovice,1
learningjourney,1
playlist,1
mood,1
therapy,1
playlistmaker,1
teenmusiclover,1
gourmet,1
unlocked,1
chefmode,1
teenchef,1
spontaneously,1
booked,1
awaits,1
travelbug,1
weekendescape,1
attended,7
danced,2
concertvibes,1
danceallnight,1
rediscovered,2
cartoon,1
cartoonnostalgia,1
teenmemories,1
embarked,4
decor,1
let,1
better,1
diyadventure,1
teenhomedecor,1
afternoon,2
pretending,1
cultured,1
museumday,1
teenartlover,1
started,6
random,1
musing,1
blogging,1
bloggerlife,1
teenblogger,1
relishing,2
booklover,1
peacefulafternoon,1
wrinkle,1
aging,1
lifereflections,1
beautyinaging,1
discover,1
passion,1
digitalartistry,1
latebloomer,1
homecooking,1
simplejoys,1
young,1
languagelearning,1
nevertoolate,1
classical,1
resonate,1
transcends,1
classicalmusic,1
timelessmelodies,1
photography,5
snapshot,3
naturephotography,2
seniorphotographer,3
reconnecting,1
companionship,2
oldfriends,1
revisit,1
roadtrip,1
nostalgiatour,1
joined,7
choir,1
harmonizing,1
fellow,2
voice,1
bond,1
withstand,1
communitychoir,1
harmonyinaging,1
meditationjourney,1
tranquilmind,1
stroll,1
appreciating,2
cease,1
gardenwalk,1
floralbeauty,1
vintage,2
wine,3
cheer,2
well,2
lived,2
winelover,1
vintagecheers,1
participated,3
unleashing,1
no,2
age,6
artclass,1
seniorartistry,1
writing,3
memoir,1
documenting,1
matter,1
memoirwriting,1
seniorstories,1
lecture,3
always,2
fascinated,1
lifelong,2
historylecture,1
seniorlearning,1
traditional,1
familyrecipes,1
seniorcooking,1
club,9
outdoors,2
jazz,2
swayed,1
jazzconcert,1
seniormusic,1
penning,1
depth,1
writinggroup,1
seniorwriter,1
pace,1
solotravel,1
seniorexplorer,1
car,1
reminiscing,2
ruled,1
rev,1
vintagecars,1
classicrides,1
growing,1
plant,1
thumb,1
unite,1
communitygarden,1
seniorgardener,1
hosted,4
echoed,1
louder,1
clinking,1
utensil,1
familydinner,1
seniorhost,1
enrolled,1
senior,4
moving,1
number,2
danceclass,1
seniordancer,2
visited,1
eternal,1
artgallery,1
seniorartlover,1
bookclub,1
seniorreaders,1
picnic,1
parkpicnic,1
seniorjoy,1
theater,1
production,1
proving,3
belongs,1
theaterproduction,1
senioractor,1
mountaintop,1
hikingadventure,1
seniorhiker,1
featuring,1
photographyexhibition,1
hair,4
cyclingclub,1
seniorcyclist,1
tasting,1
richness,1
fine,1
winetasting,1
seniorwinelover,1
gliding,1
gracefully,1
across,2
ageless,1
ballroomdancing,1
organized,3
blank,1
paintingevent,1
seniorartist,1
lane,1
shaped,1
memorylane,1
seniorreminiscing,1
astronomyclub,1
seniorstargazer,1
toe,1
stood,1
test,1
affair,1
jazzfestival,1
seniormusiclover,1
gained,1
chance,1
grow,1
seniorwisdom,1
run,1
barrier,1
meaningful,1
cause,2
charityrun,1
seniorrunner,1
physic,1
equation,2
won,1
debugging,1
codingjourney,1
highschoolcoder,1
school,14
debate,2
weapon,1
ready,1
battle,1
daydreaming,1
prom,1
dress,1
fairytale,1
convinced,1
teacher,2
side,1
fresh,1
accidentally,5
spilled,1
right,1
artclassadventures,1
highschoolartist,1
master,1
kickflip,1
skateboard,1
skating,1
pro,2
bonding,1
k,1
sensation,1
fangirling,1
finest,1
perfecting,2
chemistry,1
experiment,3
mixing,1
potion,1
wizard,1
mode,3
unleash,1
camera,1
mastering,1
doodle,2
boring,1
attempting,4
break,1
longest,1
handstand,1
wish,1
luck,3
sneaking,1
smuggling,1
sacred,1
hosting,1
sleepover,1
tiktok,1
realize,1
two,1
foot,1
fail,4
unleashed,2
liked,1
stalking,1
profile,1
awkward,2
maximum,2
tried,2
impress,3
smooth,2
spilling,1
drink,1
nonexistent,1
mastered,1
paper,2
airplane,1
plane,1
textbook,1
academic,2
hiding,1
stash,1
backpack,1
craving,1
ninja,1
activated,2
scavenger,1
hunt,1
celebrate,1
unexpectedly,1
refreshing,1
sent,2
text,1
meant,1
chat,1
texting,1
trick,1
classmate,4
go,1
origami,2
mastery,1
consecutive,2
hacky,2
sack,2
kick,1
handshake,1
burger,2
joint,1
town,1
reporting,1
duty,1
talent,4
gig,1
letter,2
person,1
embarrassment,1
elaborate,1
geek,1
bracelet,1
squad,1
weaver,1
cartwheel,2
underway,1
organizing,3
popcorn,1
experimenting,2
bold,2
semester,1
capsule,1
capture,1
traveling,1
walked,1
start,2
smoothie,2
healthy,1
assignment,1
encountered,1
mean,1
spirited,1
comment,3
online,5
dealing,3
hate,2
easy,1
bad,6
everything,1
going,1
cafeteria,1
unpleasant,1
lunch,1
grade,1
major,2
setting,1
sometimes,2
lonely,1
expected,1
cyberbullying,1
hateful,2
disheartening,1
torrential,1
rainstorm,1
umbrella,1
important,2
due,2
circumstance,2
unfounded,1
rumor,2
circulating,1
hurtful,1
flat,1
meeting,2
talk,1
emptiness,1
close,1
sad,1
rejection,1
college,1
disheartened,1
encountering,1
toxicity,1
fun,1
conscious,1
affect,1
failure,1
hard,1
didn,1
pay,1
expressing,1
opinion,1
negativity,1
malfunction,1
tech,1
trouble,1
galore,1
technique,1
different,1
strategy,1
cleanup,1
cleaner,1
promoting,1
environmental,1
awareness,1
recommendation,1
mini,1
bake,1
sale,1
collaborating,3
peer,2
teamwork,2
interest,1
dabbling,1
extracurricular,1
activity,2
part,1
job,1
gaining,1
development,1
assembly,1
informed,1
staying,1
connected,1
hobby,1
lens,1
participating,4
fair,2
showcase,1
management,1
enhance,2
organizational,1
striving,1
efficiency,1
give,1
contributing,1
social,1
promote,1
critical,1
thinking,1
communication,1
intellectual,1
engagement,1
hurdle,1
applauding,1
winning,1
friendly,1
rival,1
swing,1
receiving,1
pen,1
pal,1
country,1
globe,1
collaboration,1
spreading,1
track,1
regional,1
company,1
fundraising,1
initiative,1
giving,1
multicultural,1
bringing,1
